Timestamp,POA Irradiance,Temperature,Wind Speed,Meter Voltage,Meter Power,"Inverter INV 01, AC Power","Inverter INV 02, AC Power","Inverter INV 03, AC Power","Inverter INV 04, AC Power","Inverter INV 05, AC Power","Inverter INV 06, AC Power",Day/Night
2023-10-01 00:00:00,0.4366814,61.27037,0.2888812,20.77671,-6.935855,0.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 00:15:00,0.1785211,61.51405,0.6777219,20.81306,-6.96178,0.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 00:30:00,0.01613618,61.60528,0.4128662,20.84015,-6.97073,0.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 00:45:00,0.04748772,61.3484,0.2386823,20.84524,-6.971334,0.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 01:00:00,0.08538795,61.14851,0.6185422,20.84411,-6.969777,0.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 01:15:00,0.04201517,61.16212,0.6610845,20.85444,-6.970879,0.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 01:30:00,0.00336676,61.06017,0.580705,20.89767,-6.988444,0.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 01:45:00,0.04172067,60.89782,0.8531914,20.91245,-6.988264,0.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 02:00:00,0.06849919,60.88005,0.8739473,20.91655,-6.974203,0.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 02:15:00,0.030015,60.92871,0.7792283,20.93563,-6.966055,0.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 02:30:00,0.01145374,60.82076,0.6519466,20.9438,-6.959493,0.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 02:45:00,0.01046175,60.57111,0.369566,20.94988,-6.975036,0.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 03:00:00,0.002618565,60.37783,0.2733398,20.9573,-6.996147,0.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-01 03:15:00,0.1569436,60.00676,0.120754,20.9756,-7.030569,0.0,0.0,0.0,0.0,0.0,0.0,Night
