Timestamp,POA Irradiance,Temperature,Wind Speed,Meter Voltage,Meter Power,"SMA SC-1850CP Inverter 1, Active power","SMA SC-1850CP Inverter 2, Active power","SMA SC-1850CP Inverter 3, Active power",Day/Night
2023-10-01 00:00:00,0.0,58.79527,0.0,20.54233,-10.34726,0.0,0.0,0.0,Night
2023-10-01 00:15:00,0.0,58.47488,0.0,20.549,-10.35824,0.0,0.0,0.0,Night
2023-10-01 00:30:00,0.0,58.13793,0.0,20.56967,-10.39526,0.0,0.0,0.0,Night
2023-10-01 00:45:00,0.0,57.60263,0.0,20.578,-10.38808,0.0,0.0,0.0,Night
2023-10-01 01:00:00,0.0,57.15191,0.0,20.53367,-10.32853,0.0,0.0,0.0,Night
2023-10-01 01:15:00,0.0,57.23614,0.0,20.54033,-10.35005,0.0,0.0,0.0,Night
2023-10-01 01:30:00,0.0,56.8792,0.0,20.55533,-10.3776,0.0,0.0,0.0,Night
2023-10-01 01:45:00,0.0,56.58477,0.0,20.55567,-10.36164,0.0,0.0,0.0,Night
2023-10-01 02:00:00,0.0,56.08937,0.0,20.551,-10.36807,0.0,0.0,0.0,Night
2023-10-01 02:15:00,0.0,55.76935,0.0,20.55767,-10.38418,0.0,0.0,0.0,Night
2023-10-01 02:30:00,0.0,55.48537,0.0,20.56367,-10.39207,0.0,0.0,0.0,Night
2023-10-01 02:45:00,0.0,55.1228,0.0,20.57333,-10.41595,0.0,0.0,0.0,Night
2023-10-01 03:00:00,0.0,54.77197,0.0,20.592,-10.44392,0.0,0.0,0.0,Night
2023-10-01 03:15:00,0.0,54.64249,0.0,20.614,-10.47743,0.0,0.0,0.0,Night
2023-10-01 03:30:00,0.0,54.28937,0.0,20.607,-10.46499,0.0,0.0,0.0,Night
2023-10-01 03:45:00,0.0,54.15088,0.0,20.57467,-10.43157,0.0,0.0,0.0,Night
2023-10-01 04:00:00,0.0,54.24873,0.0,20.57867,-10.42945,0.0,0.0,0.0,Night
2023-10-01 04:15:00,0.0,55.55743,0.0,20.58767,-10.43943,0.0,0.0,0.0,Night
2023-10-01 04:30:00,0.0,56.21361,0.0,20.58733,-10.44179,0.0,0.0,0.0,Night
2023-10-01 04:45:00,0.0,56.15639,0.0,20.58833,-10.44998,0.0,0.0,0.0,Night
2023-10-01 05:00:00,0.0,56.13583,0.0,20.58333,-10.42535,0.0,0.0,0.0,Night
2023-10-01 05:15:00,0.0,56.64693,0.0,20.592,-10.4317,0.0,0.0,0.0,Night
2023-10-01 05:30:00,0.0,57.23529,0.0,20.58967,-10.43601,0.0,0.0,0.0,Night
2023-10-01 05:45:00,0.0,57.62504,0.0,20.57767,-10.41685,0.0,0.0,0.0,Night
2023-10-01 06:00:00,0.0,58.0596,0.0,20.56833,-10.40628,0.0,0.0,0.0,Night
2023-10-01 06:15:00,0.0,57.8306,0.0,20.566,-10.37571,0.0,0.0,0.0,Night
2023-10-01 06:30:00,0.0,57.56643,0.0,20.557,-10.37065,0.0,0.0,0.0,Night
2023-10-01 06:45:00,0.0851572,56.98382,0.0,20.578,-10.42907,0.0,0.0,0.0,Night
2023-10-01 07:00:00,5.229643,56.50248,0.0,20.57267,10.50768,5.893811,6.804063,7.506962,Day
2023-10-01 07:15:00,33.80576,58.74282,0.0,20.55933,107.3419,40.79821,37.83705,38.04935,Day
2023-10-01 07:30:00,72.26946,64.61871,0.0,20.584,303.9266,108.4257,105.7956,99.47818,Day
2023-10-01 07:45:00,138.7569,70.04935,0.0,20.622,600.886,206.9096,207.7329,196.4158,Day
2023-10-01 08:00:00,222.1684,73.79098,0.0,20.64967,965.2753,327.0527,330.8791,319.2416,Day
2023-10-01 08:15:00,286.5307,76.30979,1.0,20.67067,1359.46,456.0012,462.2508,454.0263,Day
2023-10-01 08:30:00,329.5451,75.55511,2.0,20.691,1724.502,575.223,582.5904,581.556,Day
2023-10-01 08:45:00,371.8268,74.3765,2.0,20.68733,2106.221,705.3587,710.7449,708.2087,Day
2023-10-01 09:00:00,417.4538,74.39991,2.0,20.684,2452.073,818.5781,825.0661,829.8225,Day
2023-10-01 09:15:00,483.6409,74.77779,2.0,20.67333,2801.75,931.7034,942.4599,951.9723,Day
2023-10-01 09:30:00,544.3499,75.03791,3.0,20.669,3060.485,1016.756,1030.308,1041.166,Day
2023-10-01 09:45:00,617.3536,75.20586,3.0,20.65167,3438.571,1141.163,1156.322,1173.069,Day
2023-10-01 10:00:00,668.0466,76.02155,4.0,20.65067,3692.838,1232.425,1231.303,1266.031,Day
2023-10-01 10:15:00,720.2077,76.89686,4.0,20.65267,3975.088,1321.095,1333.935,1360.503,Day
2023-10-01 10:30:00,761.9733,77.54843,3.0,20.65567,4184.936,1386.144,1409.289,1433.917,Day
2023-10-01 10:45:00,792.2004,78.44365,5.0,20.65967,4327.637,1435.156,1457.727,1481.556,Day
2023-10-01 11:00:00,831.0257,78.65668,5.0,20.64933,4508.345,1496.088,1519.068,1544.542,Day
2023-10-01 11:15:00,879.5309,79.89788,4.0,20.77867,4706.218,1564.178,1587.559,1609.742,Day
2023-10-01 11:30:00,886.9534,80.91103,4.0,20.827,4812.053,1611.95,1612.58,1644.441,Day
2023-10-01 11:45:00,918.6844,81.54311,4.0,20.81433,4887.536,1628.798,1652.95,1662.834,Day
2023-10-01 12:00:00,942.8003,82.08588,4.0,20.793,4926.831,1656.492,1666.016,1663.919,Day
2023-10-01 12:15:00,777.6536,82.42801,4.0,20.775,4002.173,1372.381,1381.94,1299.87,Day
2023-10-01 12:30:00,468.5741,82.25937,3.0,20.80767,2537.957,815.6563,822.8096,926.0272,Day
2023-10-01 12:45:00,838.615,83.59891,3.0,20.80533,3580.253,1056.602,1182.151,1375.729,Day
2023-10-01 13:00:00,589.6065,83.63931,3.0,20.826,3128.582,1074.249,989.8523,1103.698,Day
2023-10-01 13:15:00,758.1652,84.19166,4.0,20.79667,3921.698,1376.172,1349.968,1244.467,Day
2023-10-01 13:30:00,758.9097,83.72581,4.0,20.817,3683.215,1229.599,1254.661,1240.678,Day
2023-10-01 13:45:00,974.9382,84.51836,4.0,20.827,4744.396,1500.813,1638.465,1657.474,Day
2023-10-01 14:00:00,928.2789,84.48326,4.0,20.80733,4590.015,1392.774,1594.903,1648.206,Day
2023-10-01 14:15:00,823.5076,83.93344,4.0,20.80167,3937.248,1168.477,1331.48,1471.935,Day
2023-10-01 14:30:00,828.4717,83.62653,5.0,20.81467,4340.214,1432.967,1463.694,1489.963,Day
2023-10-01 14:45:00,662.4103,83.39153,5.0,20.82167,3753.549,1365.007,1239.127,1197.227,Day
2023-10-01 15:00:00,723.5184,82.86549,5.0,20.80167,3797.165,1249.623,1280.168,1306.755,Day
2023-10-01 15:15:00,651.6354,82.33554,5.0,20.81667,3386.585,1110.924,1140.579,1167.88,Day
2023-10-01 15:30:00,582.8622,82.06393,4.0,20.81367,3025.783,995.1709,1021.563,1037.897,Day
2023-10-01 15:45:00,521.6014,82.04265,3.0,20.78767,2692.972,886.92,913.4747,917.9492,Day
2023-10-01 16:00:00,505.3584,81.42867,2.0,20.805,2612.069,858.743,887.2989,889.6288,Day
2023-10-01 16:15:00,451.3585,81.03228,3.0,20.80467,2332.918,769.6948,795.8169,788.3271,Day
2023-10-01 16:30:00,391.3174,79.99416,3.0,20.78967,1984.551,646.6161,678.5898,677.8124,Day
2023-10-01 16:45:00,319.5218,79.1005,2.0,20.77933,1594.958,520.9597,545.8568,544.6918,Day
2023-10-01 17:00:00,258.3526,78.43951,2.0,20.763,1280.412,419.4943,437.4809,437.5194,Day
2023-10-01 17:15:00,175.097,77.73051,1.0,20.60533,853.8242,280.9126,290.6032,288.136,Day
2023-10-01 17:30:00,126.6864,76.61078,1.0,20.54633,619.7918,206.2402,211.6526,221.428,Day
2023-10-01 17:45:00,88.60103,75.22925,0.0,20.50833,427.4877,143.4711,146.5708,147.5478,Day
2023-10-01 18:00:00,55.22236,73.66249,0.0,20.49133,263.4543,90.12828,91.0255,92.41394,Day
2023-10-01 18:15:00,25.20724,72.01013,0.0,20.47167,123.4223,44.34785,43.7823,44.86024,Day
2023-10-01 18:30:00,4.874785,69.88629,0.0,20.468,27.67533,12.40463,11.57319,12.39492,Day
