Timestamp,POA Irradiance,Temperature,Wind Speed,Meter Voltage,Meter Power,"Schneider XC 680kW Inverter - 1A, Line kW","Schneider XC 680kW Inverter - 1B, Line kW","Schneider XC 680kW Inverter - 1C, Line kW",Day/Night
2023-10-01 00:00:00,0.0,60.49458,0,7595.667,-4.477,0.0,0.0,0.0,Night
2023-10-01 00:15:00,0.0,60.06269,0,7600.333,-4.483667,0.0,0.0,0.0,Night
2023-10-01 00:30:00,0.0,59.63308,0,7605.667,-4.493667,0.0,0.0,0.0,Night
2023-10-01 00:45:00,0.0,59.37143,0,7610.667,-4.499667,0.0,0.0,0.0,Night
2023-10-01 01:00:00,0.0,58.94524,0,7609.333,-4.496666,0.0,0.0,0.0,Night
2023-10-01 01:15:00,0.0,58.76929,0,7610.667,-4.500333,0.0,0.0,0.0,Night
2023-10-01 01:30:00,0.0,59.02065,0,7619.0,-4.519333,0.0,0.0,0.0,Night
2023-10-01 01:45:00,0.0,58.82299,0,7614.0,-4.509666,0.0,0.0,0.0,Night
2023-10-01 02:00:00,0.0,58.34768,0,7599.333,-4.491,0.0,0.0,0.0,Night
2023-10-01 02:15:00,0.0,58.03347,0,7602.0,-4.497334,0.0,0.0,0.0,Night
2023-10-01 02:30:00,0.0,57.4976,0,7604.667,-4.493667,0.0,0.0,0.0,Night
2023-10-01 02:45:00,0.0,57.29308,0,7607.333,-4.501,0.0,0.0,0.0,Night
2023-10-01 03:00:00,0.0,58.44022,0,7607.667,-4.499,0.0,0.0,0.0,Night
2023-10-01 03:15:00,0.0,59.85245,0,7611.333,-4.508667,0.0,0.0,0.0,Night
2023-10-01 03:30:00,0.0,60.28777,0,7610.0,-4.507333,0.0,0.0,0.0,Night
2023-10-01 03:45:00,0.0,60.27292,0,7608.333,-4.510667,0.0,0.0,0.0,Night
2023-10-01 04:00:00,0.0,60.33233,1,7611.667,-4.513,0.0,0.0,0.0,Night
2023-10-01 04:15:00,0.0,60.39746,1,7614.667,-4.521,0.0,0.0,0.0,Night
2023-10-01 04:30:00,0.0,60.3689,1,7614.0,-4.520333,0.0,0.0,0.0,Night
2023-10-01 04:45:00,0.0,60.37233,0,7615.667,-4.522333,0.0,0.0,0.0,Night
2023-10-01 05:00:00,0.0,60.27634,0,7615.667,-4.522333,0.0,0.0,0.0,Night
