"Mariposa Solar Center, LLC",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,,,,
Timestamp,POA*,"TMEIC - 1, Active Power P","TMEIC - 2, Active Power P","TMEIC - 3, Active Power P",Production meter active power
,W/m²,kW,kW,kW,kW
2022-11-01 00:00:00,0,0,0,0,-9.599999
2022-11-01 01:00:00,0,0,0,0,-9.599999
2022-11-01 02:00:00,0,0,0,0,-9.599999
2022-11-01 03:00:00,0,0,0,0,-9.599999
2022-11-01 04:00:00,0,0,0,0,-9.599999
2022-11-01 05:00:00,0,0,0,0,-9.599999
2022-11-01 06:00:00,0,0,0,0,-9.599999
2022-11-01 07:00:00,0.7141169,0,0,0,-9.599999
2022-11-01 08:00:00,25.69504,31.85689,33.15304,33.17472,101.377
2022-11-01 09:00:00,178.5411,285.1918,283.8477,278.1077,841.6954
2022-11-01 10:00:00,603.7252,995.4172,1049.779,1060.659,3101.234
2022-11-01 11:00:00,812.2183,1386.005,1408.318,1395.027,4172.341
2022-11-01 12:00:00,910.2813,1500.823,1526.091,1515.045,4513.046
2022-11-01 13:00:00,928.1494,1502.471,1532.6,1515.288,4519.215
2022-11-01 14:00:00,867.5586,1370.101,1403.026,1406.182,4144.895
2022-11-01 15:00:00,639.7053,1103.132,1051.57,995.6038,3093.563
2022-11-01 16:00:00,492.8075,718.5186,772.4106,780.2809,2265.928
2022-11-01 17:00:00,221.1295,210.2781,266.3944,282.0957,751.0088
2022-11-01 18:00:00,4.754646,2.605175,2.947985,2.989288,11.01461
2022-11-01 19:00:00,0,0,0,0,-9.599999
2022-11-01 20:00:00,0,0,0,0,-9.599999
2022-11-01 21:00:00,0,0,0,0,-9.599999
2022-11-01 22:00:00,0,0,0,0,-9.599999
2022-11-01 23:00:00,0,0,0,0,-9.599999
2022-11-02 00:00:00,0,0,0,0,-9.599999
2022-11-02 01:00:00,0,0,0,0,-9.599999
2022-11-02 02:00:00,0,0,0,0,-9.599999
2022-11-02 03:00:00,0,0,0,0,-9.599999
2022-11-02 04:00:00,0,0,0,0,-9.599999
2022-11-02 05:00:00,0,0,0,0,-9.599999
2022-11-02 06:00:00,0,0,0,0,-9.599999
2022-11-02 07:00:00,1.97831,2.426492,2.763562,1.279073,-1.596667
2022-11-02 08:00:00,55.46313,81.2318,83.98697,83.0412,241.6069
2022-11-02 09:00:00,261.8816,463.4059,476.2812,469.1612,1400.88
2022-11-02 10:00:00,594.2966,1036.572,1065.226,1069.846,3183.136
2022-11-02 11:00:00,588.5206,1008.206,1026.217,996.2019,3030.061
2022-11-02 12:00:00,438.5465,679.8705,706.3906,714.8158,2093.572
2022-11-02 13:00:00,375.9597,584.2386,606.1163,596.2467,1783.393
2022-11-02 14:00:00,280.6538,432.2397,444.0036,445.7409,1309.662
2022-11-02 15:00:00,173.2585,266.0073,274.107,270.9031,803.0807
2022-11-02 16:00:00,40.64479,71.13989,73.46046,72.65629,209.5347
2022-11-02 17:00:00,22.36879,33.39615,34.30684,34.18596,112.5466
2022-11-02 18:00:00,3.776552,2.048,2.0625,1.948083,11.93481
2022-11-02 19:00:00,0,0,0,0,-9.599999
2022-11-02 20:00:00,0,0,0,0,-9.599999
2022-11-02 21:00:00,0,0,0,0,-9.599999
2022-11-02 22:00:00,0,0,0,0,-9.599999
2022-11-02 23:00:00,0,0,0,0,-9.599999
2022-11-03 00:00:00,0,0,0,0,-9.599999
2022-11-03 01:00:00,0,0,0,0,-9.599999
2022-11-03 02:00:00,0,0,0,0,-9.599999
2022-11-03 03:00:00,0,0,0,0,-9.599999
2022-11-03 04:00:00,0,0,0,0,-9.599999
2022-11-03 05:00:00,0,0,0,0,-9.599999
2022-11-03 06:00:00,0,0,0,0,-9.599999
2022-11-03 07:00:00,1.91786,0,1.604934,0,-3.218962
2022-11-03 08:00:00,104.5296,209.1174,256.8678,254.4522,719.864
2022-11-03 09:00:00,385.6508,763.9143,787.5566,774.624,2330.259
2022-11-03 10:00:00,613.3834,1140.151,1159.058,1144.938,3438.567
2022-11-03 11:00:00,801.5274,1387.711,1414.844,1397.643,4182.984
2022-11-03 12:00:00,892.9548,1413.69,1472.983,1436.707,4317.837
2022-11-03 13:00:00,876.2598,1486.972,1500.767,1487.002,4437.573
2022-11-03 14:00:00,830.8865,1347.357,1373.154,1363.897,4055.185
2022-11-03 15:00:00,690.9071,1112.558,1139.682,1133.105,3361.779
2022-11-03 16:00:00,456.7123,684.8489,735.457,733.2798,2134.472
2022-11-03 17:00:00,191.5127,174.9942,217.5846,230.6935,615.7321
2022-11-03 18:00:00,9.585117,7.31689,8.266192,7.594237,25.07714
2022-11-03 19:00:00,0,0,0,0,-9.599999
2022-11-03 20:00:00,0,0,0,0,-9.599999
2022-11-03 21:00:00,0,0,0,0,-9.599999
2022-11-03 22:00:00,0,0,0,0,-9.599999
