Timestamp,POA Irradiance,Meter Power,Inverter_1,Inverter_2,Avg_Top_20%,Expected Sum
2023-08-01 00:00:00,0.0,-4.693876,0.0,,,0.0
2023-08-01 01:00:00,0.0,-4.877492,0.0,,,0.0
2023-08-01 02:00:00,0.0,-4.854717,0.0,,,0.0
2023-08-01 03:00:00,0.0,-4.852207,0.0,,,0.0
2023-08-01 04:00:00,0.0,-4.612418,0.0,,,0.0
2023-08-01 05:00:00,0.0,-4.778512,0.0,,,0.0
2023-08-01 06:00:00,7.516047,-0.6001345,6.315299,,,6.315299
2023-08-01 07:00:00,100.9297,64.85584,71.4614,,71.4614,71.4614
2023-08-01 08:00:00,223.9132,164.8241,174.0341,,174.0341,174.0341
2023-08-01 09:00:00,473.7896,355.4301,361.3538,361.3538,361.3538,722.7076
2023-08-01 10:00:00,636.254,442.4287,453.4708,453.4708,453.4708,906.9416
2023-08-01 11:00:00,702.3031,495.26,498.2762,498.2762,498.2762,996.5524
2023-08-01 12:00:00,914.6631,612.5117,621.788,621.788,621.788,1243.576
2023-08-01 13:00:00,665.8105,473.0332,493.9808,493.9808,493.9808,987.9616
2023-08-01 14:00:00,906.1909,662.867,624.6753,,624.6753,624.6753
2023-08-01 15:00:00,794.9243,537.1029,547.5622,,547.5622,547.5622
2023-08-01 16:00:00,614.4008,412.4283,419.2354,,419.2354,419.2354
2023-08-01 17:00:00,357.3826,246.1169,253.2956,,253.2956,253.2956
2023-08-01 18:00:00,212.2817,129.9678,136.7804,,136.7804,136.7804
2023-08-01 19:00:00,62.80498,25.99298,33.18257,,33.18257,33.18257
2023-08-01 20:00:00,2.8046,-6.185472,0.315676,,,0.315676
2023-08-01 21:00:00,0.0,-5.010265,0.0,,,0.0
2023-08-01 22:00:00,0.0,-4.837567,0.0,,,0.0
2023-08-01 23:00:00,0.0,-4.908559,0.0,,,0.0
2023-08-02 00:00:00,0.0,-4.838289,0.0,,,0.0
2023-08-02 01:00:00,0.0,-4.797112,0.0,,,0.0
2023-08-02 02:00:00,0.0,-4.807688,0.0,,,0.0
2023-08-02 03:00:00,0.0,-4.846793,0.0,,,0.0
2023-08-02 04:00:00,0.0,-4.852517,0.0,,,0.0
2023-08-02 05:00:00,0.0,-4.944804,0.0,,,0.0
2023-08-02 06:00:00,5.95421,-1.796364,5.318365,,,5.318365
2023-08-02 07:00:00,65.97773,46.01027,52.8113,,52.8113,52.8113
2023-08-02 08:00:00,198.2855,147.5719,153.7352,,153.7352,153.7352
