Site Name,Production,Irradiance,Inverter,Max Inverter Blanks,Inverters With Most Missings
Bani,,,,0,"SMA SHP-125 INV - 1, AC Power, SMA SHP-125 INV - 2, AC Power, SMA SHP-125 INV - 3, AC Power, SMA SHP-125 INV - 4, AC Power, SMA SHP-125 INV - 5, AC Power, SMA SHP-125 INV - 6, AC Power, SMA SHP-125 INV - 7, AC Power, SMA SHP-125 INV - 8, AC Power, SMA SHP-125 INV - 9, AC Power, SMA SHP-125 INV - 10, AC Power, SMA SHP-125 INV - 11, AC Power, SMA SHP-125 INV - 12, AC Power, SMA SHP-125 INV - 13, AC Power, SMA SHP-125 INV - 14, AC Power, SMA SHP-125 INV - 15, AC Power, SMA SHP-125 INV - 16, AC Power"
Bartow,,x,x,2,"1D.7, AC Power Output"
Beulaville,,x,,0,"Huawei Sun 2000 - A1-1, Power, Huawei Sun 2000 - A1-2, Power, Huawei Sun 2000 - A1-3, Power, Huawei Sun 2000 - A1-4, Power, Huawei Sun 2000 - A1-5, Power, Huawei Sun 2000 - A1-6, Power, Huawei Sun 2000 - A1-7, Power, Huawei Sun 2000 - A1-8, Power, Huawei Sun 2000 - A2-1, Power, Huawei Sun 2000 - A2-2, Power, Huawei Sun 2000 - A2-3, Power, Huawei Sun 2000 - A2-4, Power, Huawei Sun 2000 - A2-5, Power, Huawei Sun 2000 - A2-6, Power, Huawei Sun 2000 - A2-7, Power, Huawei Sun 2000 - A2-8, Power, Huawei Sun 2000 - A3-1, Power, Huawei Sun 2000 - A3-2, Power, Huawei Sun 2000 - A3-3, Power, Huawei Sun 2000 - A3-4, Power, Huawei Sun 2000 - A3-5, Power, Huawei Sun 2000 - A3-6, Power, Huawei Sun 2000 - A3-7, Power, Huawei Sun 2000 - A3-8, Power, Huawei Sun 2000 - A4-1, Power, Huawei Sun 2000 - A4-2, Power, Huawei Sun 2000 - A4-3, Power, Huawei Sun 2000 - A4-4, Power, Huawei Sun 2000 - A4-5, Power, Huawei Sun 2000 - A4-6, Power, Huawei Sun 2000 - A4-7, Power, Huawei Sun 2000 - A4-8, Power, Huawei Sun 2000 - A5-1, Power, Huawei Sun 2000 - A5-2, Power, Huawei Sun 2000 - A5-3, Power, Huawei Sun 2000 - A5-4, Power, Huawei Sun 2000 - A5-5, Power, Huawei Sun 2000 - A5-6, Power, Huawei Sun 2000 - A5-7, Power, Huawei Sun 2000 - A5-8, Power, Huawei Sun 2000 - B1-1, Power, Huawei Sun 2000 - B1-2, Power, Huawei Sun 2000 - B1-3, Power, Huawei Sun 2000 - B1-4, Power, Huawei Sun 2000 - B1-5, Power, Huawei Sun 2000 - B1-6, Power, Huawei Sun 2000 - B1-7, Power, Huawei Sun 2000 - B1-8, Power, Huawei Sun 2000 - B2-1, Power, Huawei Sun 2000 - B2-2, Power, Huawei Sun 2000 - B2-3, Power, Huawei Sun 2000 - B2-4, Power, Huawei Sun 2000 - B2-5, Power, Huawei Sun 2000 - B2-6, Power, Huawei Sun 2000 - B2-7, Power, Huawei Sun 2000 - B2-8, Power, Huawei Sun 2000 - B3-1, Power, Huawei Sun 2000 - B3-2, Power, Huawei Sun 2000 - B3-3, Power, Huawei Sun 2000 - B3-4, Power, Huawei Sun 2000 - B3-5, Power, Huawei Sun 2000 - B3-6, Power, Huawei Sun 2000 - B3-7, Power, Huawei Sun 2000 - B3-8, Power, Huawei Sun 2000 - B4-1, Power, Huawei Sun 2000 - B4-2, Power, Huawei Sun 2000 - B4-3, Power, Huawei Sun 2000 - B4-4, Power, Huawei Sun 2000 - B4-5, Power, Huawei Sun 2000 - B4-6, Power, Huawei Sun 2000 - B4-7, Power, Huawei Sun 2000 - B4-8, Power, Huawei Sun 2000 - B5-1, Power, Huawei Sun 2000 - B5-2, Power, Huawei Sun 2000 - B5-3, Power, Huawei Sun 2000 - B5-4, Power, Huawei Sun 2000 - B5-5, Power, Huawei Sun 2000 - B5-6, Power, Huawei Sun 2000 - B5-7, Power, Huawei Sun 2000 - B5-8, Power"
Big Horn,,,,0,"Inverter - 1 CPS SCH125KTL, Active Power, Inverter - 2 CPS SCH125KTL, Active Power, Inverter - 3 CPS SCH125KTL, Active Power, Inverter - 4 CPS SCH125KTL, Active Power, Inverter - 5 CPS SCH125KTL, Active Power, Inverter - 6 CPS SCH125KTL, Active Power, Inverter - 7 CPS SCH125KTL, Active Power, Inverter - 8 CPS SCH125KTL, Active Power, Inverter - 9 CPS SCH125KTL, Active Power, Inverter - 10 CPS SCH125KTL, Active Power, Inverter - 11 CPS SCH125KTL, Active Power, Inverter - 12 CPS SCH125KTL, Active Power, Inverter - 13 CPS SCH125KTL, Active Power, Inverter - 14 CPS SCH125KTL, Active Power, Inverter - 15 CPS SCH125KTL, Active Power, Inverter - 16 CPS SCH125KTL, Active Power, Inverter - 17 CPS SCH100KTL, Active Power, Inverter - 18 CPS SCH100KTL, Active Power"
Briarwood,,,x,2,"SunGrow SG125HV Inverter - 1, Line kW, SunGrow SG125HV Inverter - 2, Line kW, SunGrow SG125HV Inverter - 3, Line kW, SunGrow SG125HV Inverter - 4, Line kW, SunGrow SG125HV Inverter - 5, Line kW, SunGrow SG125HV Inverter - 6, Line kW, SunGrow SG125HV Inverter - 7, Line kW, SunGrow SG125HV Inverter - 8, Line kW, SunGrow SG125HV Inverter - 9, Line kW, SunGrow SG125HV Inverter - 10, Line kW, SunGrow SG125HV Inverter - 11, Line kW, SunGrow SG125HV Inverter - 12, Line kW, SunGrow SG125HV Inverter - 13, Line kW, SunGrow SG125HV Inverter - 14, Line kW, SunGrow SG125HV Inverter - 15, Line kW, SunGrow SG125HV Inverter - 16, Line kW"
Briarwood,x,,,2,"SunGrow SG125HV Inverter - 1, Line kW, SunGrow SG125HV Inverter - 2, Line kW, SunGrow SG125HV Inverter - 3, Line kW, SunGrow SG125HV Inverter - 4, Line kW, SunGrow SG125HV Inverter - 5, Line kW, SunGrow SG125HV Inverter - 6, Line kW, SunGrow SG125HV Inverter - 7, Line kW, SunGrow SG125HV Inverter - 8, Line kW, SunGrow SG125HV Inverter - 9, Line kW, SunGrow SG125HV Inverter - 10, Line kW, SunGrow SG125HV Inverter - 11, Line kW, SunGrow SG125HV Inverter - 12, Line kW, SunGrow SG125HV Inverter - 13, Line kW, SunGrow SG125HV Inverter - 14, Line kW, SunGrow SG125HV Inverter - 15, Line kW, SunGrow SG125HV Inverter - 16, Line kW"
Brightwood,,,,0,"Sungrow SG3600 Inverter - 1, Total AC Power, Sungrow SG3600U Inverter - 2, Total AC Power, Sungrow SG3600U Inverter - 3, Total AC Power"
Brush Creek,,,,0,"Inverter - 1 CPS SCH125KTL, Active Power, Inverter - 2 CPS SCH125KTL, Active Power, Inverter - 3 CPS SCH125KTL, Active Power, Inverter - 4 CPS SCH125KTL, Active Power, Inverter - 5 CPS SCH125KTL, Active Power, Inverter - 6 CPS SCH125KTL, Active Power, Inverter - 7 CPS SCH125KTL, Active Power, Inverter - 8 CPS SCH125KTL, Active Power, Inverter - 9 CPS SCH125KTL, Active Power, Inverter - 10 CPS SCH125KTL, Active Power, Inverter - 11 CPS SCH125KTL, Active Power, Inverter - 12 CPS SCH125KTL, Active Power, Inverter - 13 CPS SCH100KTL, Active Power, Inverter - 14 CPS SCH100KTL, Active Power, Inverter - 15 CPS SCH125KTL, Active Power, Inverter - 16 CPS SCH125KTL, Active Power, Inverter - 17 CPS SCH125KTL, Active Power, Inverter - 18 CPS SCH125KTL, Active Power"
Carnes Creek,,,,0,"Carnes Creek - Inverter 4 - AC power [W] - P_AC, Carnes Creek - Inverter 11 - AC power [W] - P_AC, Carnes Creek - Inverter 13 - AC power [W] - P_AC, Carnes Creek - Inverter 8 - AC power [W] - P_AC, Carnes Creek - Inverter 12 - AC power [W] - P_AC, Carnes Creek - Inverter 9 - AC power [W] - P_AC, Carnes Creek - Inverter 1 - AC power [W] - P_AC, Carnes Creek - Inverter 2 - AC power [W] - P_AC, Carnes Creek - Inverter 5 - AC power [W] - P_AC, Carnes Creek - Inverter 6 - AC power [W] - P_AC, Carnes Creek - Inverter 7 - AC power [W] - P_AC, Carnes Creek - Inverter 3 - AC power [W] - P_AC, Carnes Creek - Inverter 10 - AC power [W] - P_AC, Carnes Creek - Inverter 14 - AC power [W] - P_AC"
Chiloquin,,,x,1,"Sungrow 60kW Inverter - 1.1, Line kW, Sungrow 60kW Inverter - 1.2, Line kW, Sungrow 60kW Inverter - 1.3, Line kW, Sungrow 60kW Inverter - 1.4, Line kW, Sungrow 60kW Inverter - 1.5, Line kW, Sungrow 60kW Inverter - 1.6, Line kW, Sungrow 60kW Inverter - 1.7, Line kW, Sungrow 60kW Inverter - 1.8, Line kW, Sungrow 60kW Inverter - 1.9, Line kW, Sungrow 60kW Inverter - 1.10, Line kW, Sungrow 60kW Inverter - 1.11, Line kW, Sungrow 60kW Inverter - 1.12, Line kW, Sungrow 60kW Inverter - 1.13, Line kW, Sungrow 60kW Inverter - 1.14, Line kW, Sungrow 60kW Inverter - 1.15, Line kW, Sungrow 60kW Inverter - 2.1, Line kW, Sungrow 60kW Inverter - 2.2, Line kW, Sungrow 60kW Inverter - 2.3, Line kW, Sungrow 60kW Inverter - 2.4, Line kW, Sungrow 60kW Inverter - 2.5, Line kW, Sungrow 60kW Inverter - 2.6, Line kW, Sungrow 60kW Inverter - 2.7, Line kW, Sungrow 60kW Inverter - 2.8, Line kW, Sungrow 60kW Inverter - 2.9, Line kW, Sungrow 60kW Inverter - 2.10, Line kW, Sungrow 60kW Inverter - 2.11, Line kW, Sungrow 60kW Inverter - 2.12, Line kW, Sungrow 60kW Inverter - 2.13, Line kW, Sungrow 60kW Inverter - 2.14, Line kW, Sungrow 60kW Inverter - 2.15, Line kW, Sungrow 60kW Inverter - 3.1, Line kW, Sungrow 60kW Inverter - 3.2, Line kW, Sungrow 60kW Inverter - 3.3, Line kW, Sungrow 60kW Inverter - 3.4, Line kW, Sungrow 60kW Inverter - 3.5, Line kW, Sungrow 60kW Inverter - 3.6, Line kW, Sungrow 60kW Inverter - 3.7, Line kW, Sungrow 60kW Inverter - 3.8, Line kW, Sungrow 60kW Inverter - 3.9, Line kW, Sungrow 60kW Inverter - 3.10, Line kW, Sungrow 60kW Inverter - 3.11, Line kW, Sungrow 60kW Inverter - 3.12, Line kW, Sungrow 60kW Inverter - 3.13, Line kW, Sungrow 60kW Inverter - 3.14, Line kW, Sungrow 60kW Inverter - 3.15, Line kW, Sungrow 60kW Inverter - 4.1, Line kW, Sungrow 60kW Inverter - 4.2, Line kW, Sungrow 60kW Inverter - 4.3, Line kW, Sungrow 60kW Inverter - 4.4, Line kW, Sungrow 60kW Inverter - 4.5, Line kW, Sungrow 60kW Inverter - 4.6, Line kW, Sungrow 60kW Inverter - 4.7, Line kW, Sungrow 60kW Inverter - 4.8, Line kW, Sungrow 60kW Inverter - 4.9, Line kW, Sungrow 60kW Inverter - 4.10, Line kW, Sungrow 60kW Inverter - 4.11, Line kW, Sungrow 60kW Inverter - 4.12, Line kW, Sungrow 60kW Inverter - 4.13, Line kW, Sungrow 60kW Inverter - 4.14, Line kW, Sungrow 60kW Inverter - 4.15, Line kW, Sungrow 60kW Inverter - 5.1, Line kW, Sungrow 60kW Inverter - 5.2, Line kW, Sungrow 60kW Inverter - 5.3, Line kW, Sungrow 60kW Inverter - 5.4, Line kW, Sungrow 60kW Inverter - 5.5, Line kW, Sungrow 60kW Inverter - 5.6, Line kW, Sungrow 60kW Inverter - 5.7, Line kW, Sungrow 60kW Inverter - 5.8, Line kW, Sungrow 60kW Inverter - 5.9, Line kW, Sungrow 60kW Inverter - 5.10, Line kW, Sungrow 60kW Inverter - 5.11, Line kW, Sungrow 60kW Inverter - 5.12, Line kW, Sungrow 60kW Inverter - 5.13, Line kW, Sungrow 60kW Inverter - 5.14, Line kW, Sungrow 60kW Inverter - 5.15, Line kW, Sungrow 60kW Inverter - 6.1, Line kW, Sungrow 60kW Inverter - 6.2, Line kW, Sungrow 60kW Inverter - 6.3, Line kW, Sungrow 60kW Inverter - 6.4, Line kW, Sungrow 60kW Inverter - 6.5, Line kW, Sungrow 60kW Inverter - 6.6, Line kW, Sungrow 60kW Inverter - 6.7, Line kW, Sungrow 60kW Inverter - 6.8, Line kW, Sungrow 60kW Inverter - 6.9, Line kW, Sungrow 60kW Inverter - 6.10, Line kW, Sungrow 60kW Inverter - 6.11, Line kW, Sungrow 60kW Inverter - 6.12, Line kW, Sungrow 60kW Inverter - 6.13, Line kW, Sungrow 60kW Inverter - 6.14, Line kW, Sungrow 60kW Inverter - 6.15, Line kW, Sungrow 60kW Inverter - 7.1, Line kW, Sungrow 60kW Inverter - 7.2, Line kW, Sungrow 60kW Inverter - 7.3, Line kW, Sungrow 60kW Inverter - 7.4, Line kW, Sungrow 60kW Inverter - 7.5, Line kW, Sungrow 60kW Inverter - 7.6, Line kW, Sungrow 60kW Inverter - 7.7, Line kW, Sungrow 60kW Inverter - 7.8, Line kW, Sungrow 60kW Inverter - 7.9, Line kW, Sungrow 60kW Inverter - 7.10, Line kW, Sungrow 60kW Inverter - 7.11, Line kW, Sungrow 60kW Inverter - 7.12, Line kW, Sungrow 60kW Inverter - 7.13, Line kW, Sungrow 60kW Inverter - 7.14, Line kW, Sungrow 60kW Inverter - 7.15, Line kW, Sungrow 60kW Inverter - 8.1, Line kW, Sungrow 60kW Inverter - 8.2, Line kW, Sungrow 60kW Inverter - 8.3, Line kW, Sungrow 60kW Inverter - 8.4, Line kW, Sungrow 60kW Inverter - 8.5, Line kW, Sungrow 60kW Inverter - 8.6, Line kW, Sungrow 60kW Inverter - 8.7, Line kW, Sungrow 60kW Inverter - 8.8, Line kW, Sungrow 60kW Inverter - 8.9, Line kW, Sungrow 60kW Inverter - 8.10, Line kW, Sungrow 60kW Inverter - 8.11, Line kW, Sungrow 60kW Inverter - 8.12, Line kW, Sungrow 60kW Inverter - 8.13, Line kW, Sungrow 60kW Inverter - 8.14, Line kW, Sungrow 60kW Inverter - 8.15, Line kW, Sungrow 60kW Inverter - 9.1, Line kW, Sungrow 60kW Inverter - 9.2, Line kW, Sungrow 60kW Inverter - 9.3, Line kW, Sungrow 60kW Inverter - 9.4, Line kW, Sungrow 60kW Inverter - 9.5, Line kW, Sungrow 60kW Inverter - 9.6, Line kW, Sungrow 60kW Inverter - 9.7, Line kW, Sungrow 60kW Inverter - 9.8, Line kW, Sungrow 60kW Inverter - 9.9, Line kW, Sungrow 60kW Inverter - 9.10, Line kW, Sungrow 60kW Inverter - 9.11, Line kW, Sungrow 60kW Inverter - 9.12, Line kW, Sungrow 60kW Inverter - 9.13, Line kW, Sungrow 60kW Inverter - 9.14, Line kW, Sungrow 60kW Inverter - 9.15, Line kW, Sungrow 60kW Inverter - 10.1, Line kW, Sungrow 60kW Inverter - 10.2, Line kW, Sungrow 60kW Inverter - 10.3, Line kW, Sungrow 60kW Inverter - 10.4, Line kW, Sungrow 60kW Inverter - 10.5, Line kW, Sungrow 60kW Inverter - 10.6, Line kW, Sungrow 60kW Inverter - 10.7, Line kW, Sungrow 60kW Inverter - 10.8, Line kW, Sungrow 60kW Inverter - 10.9, Line kW, Sungrow 60kW Inverter - 10.10, Line kW, Sungrow 60kW Inverter - 10.11, Line kW, Sungrow 60kW Inverter - 10.12, Line kW, Sungrow 60kW Inverter - 10.13, Line kW, Sungrow 60kW Inverter - 10.14, Line kW, Sungrow 60kW Inverter - 10.15, Line kW, Sungrow 60kW Inverter - 11.1, Line kW, Sungrow 60kW Inverter - 11.2, Line kW, Sungrow 60kW Inverter - 11.3, Line kW, Sungrow 60kW Inverter - 11.4, Line kW, Sungrow 60kW Inverter - 11.5, Line kW, Sungrow 60kW Inverter - 11.6, Line kW, Sungrow 60kW Inverter - 11.7, Line kW, Sungrow 60kW Inverter - 11.8, Line kW, Sungrow 60kW Inverter - 11.9, Line kW, Sungrow 60kW Inverter - 11.10, Line kW, Sungrow 60kW Inverter - 11.11, Line kW, Sungrow 60kW Inverter - 11.12, Line kW, Sungrow 60kW Inverter - 11.13, Line kW, Sungrow 60kW Inverter - 11.14, Line kW, Sungrow 60kW Inverter - 11.15, Line kW"
