Site Name,Production,Irradiance,Inverter,Max Inverter Blanks,Inverters With Most Missings
Collier,x,x,,0,"SMA 2200 1, AC Real Power, SMA 2200 2, AC Real Power, SMA 2200 3, AC Real Power, SMA 2200 4, AC Real Power, SMA 2200 5, AC Real Power"
Colton,,,,0,"Inverter 1, AC Active Power (Total)"
Cosper Creek,,,x,0,"Cosper Creek - Inverter 1 - AC power [W] - P_AC, Cosper Creek - Inverter 8 - AC power [W] - P_AC, Cosper Creek - Inverter 13 - AC power [W] - P_AC, Cosper Creek - Inverter 10 - AC power [W] - P_AC, Cosper Creek - Inverter 14 - AC power [W] - P_AC, Cosper Creek - Inverter 7 - AC power [W] - P_AC, Cosper Creek - Inverter 5 - AC power [W] - P_AC, Cosper Creek - Inverter 4 - AC power [W] - P_AC, Cosper Creek - Inverter 3 - AC power [W] - P_AC, Cosper Creek - Inverter 2 - AC power [W] - P_AC, Cosper Creek - Inverter 6 - AC power [W] - P_AC, Cosper Creek - Inverter 11 - AC power [W] - P_AC, Cosper Creek - Inverter 9 - AC power [W] - P_AC, Cosper Creek - Inverter 12 - AC power [W] - P_AC"
Cotten Farm,,,x,4,"SMA SC-800CP-US - B1, Pac, SMA SC-800CP-US - B2, Pac, SMA SC-800CP-US - C1, Pac, SMA SC-800CP-US - C2, Pac"
Cottonwood,x,,,6,"Solectria 750kW Inverter - 1, AC Power output, Solectria 750kW Inverter - 2, AC Power output, Solectria 750kW Inverter - 3, AC Power output, Solectria 750kW Inverter - 4, AC Power output"
County Home,,,,0,"SMA 24000TL-US - D1-1, Total AC Active Power, SMA 24000TL-US - D1-2, Total AC Active Power, SMA 24000TL-US - D1-3, Total AC Active Power, SMA 24000TL-US - D1-4, Total AC Active Power, SMA 24000TL-US - D1-5, Total AC Active Power, SMA 24000TL-US - D1-6, Total AC Active Power, SMA 24000TL-US - D1-7, Total AC Active Power, SMA 24000TL-US - D1-8, Total AC Active Power, SMA 24000TL-US - D1-9, Total AC Active Power, SMA 24000TL-US - D1-10, Total AC Active Power, SMA 24000TL-US - D2-1, Total AC Active Power, SMA 24000TL-US - D2-2, Total AC Active Power, SMA 24000TL-US - D2-3, Total AC Active Power, SMA 24000TL-US - D2-4, Total AC Active Power, SMA 24000TL-US - D2-5, Total AC Active Power, SMA 24000TL-US - D2-6, Total AC Active Power, SMA 24000TL-US - D2-7, Total AC Active Power, SMA 24000TL-US - D2-8, Total AC Active Power, SMA 24000TL-US - D2-9, Total AC Active Power, SMA 24000TL-US - D2-10, Total AC Active Power, SMA 24000TL-US - D3-1, Total AC Active Power, SMA 24000TL-US - D3-2, Total AC Active Power, SMA 24000TL-US - D3-3, Total AC Active Power, SMA 24000TL-US - D3-4, Total AC Active Power, SMA 24000TL-US - D3-5, Total AC Active Power, SMA 24000TL-US - D3-6, Total AC Active Power, SMA 24000TL-US - D3-7, Total AC Active Power, SMA 24000TL-US - D3-8, Total AC Active Power, SMA 24000TL-US - D3-9, Total AC Active Power, SMA 24000TL-US - D3-10, Total AC Active Power, SMA 24000TL-US - D3-11, Total AC Active Power, SMA 24000TL-US - D4-1, Total AC Active Power, SMA 24000TL-US - D4-2, Total AC Active Power, SMA 24000TL-US - D4-3, Total AC Active Power, SMA 24000TL-US - D4-4, Total AC Active Power, SMA 24000TL-US - D4-5, Total AC Active Power, SMA 24000TL-US - D4-6, Total AC Active Power, SMA 24000TL-US - D4-7, Total AC Active Power, SMA 24000TL-US - D4-8, Total AC Active Power, SMA 24000TL-US - D4-9, Total AC Active Power, SMA 24000TL-US - D4-10, Total AC Active Power, SMA 24000TL-US - D4-11, Total AC Active Power, SMA 24000TL-US - D5-1, Total AC Active Power, SMA 24000TL-US - D5-2, Total AC Active Power, SMA 24000TL-US - D5-3, Total AC Active Power, SMA 24000TL-US - D5-4, Total AC Active Power, SMA 24000TL-US - D5-5, Total AC Active Power, SMA 24000TL-US - D5-6, Total AC Active Power, SMA 24000TL-US - D5-7, Total AC Active Power, SMA 24000TL-US - D5-8, Total AC Active Power, SMA 24000TL-US - D5-9, Total AC Active Power, SMA 24000TL-US - D5-10, Total AC Active Power, SMA 24000TL-US - D6-1, Total AC Active Power, SMA 24000TL-US - D6-2, Total AC Active Power, SMA 24000TL-US - D6-3, Total AC Active Power, SMA 24000TL-US - D6-4, Total AC Active Power, SMA 24000TL-US - D6-5, Total AC Active Power, SMA 24000TL-US - D6-6, Total AC Active Power, SMA 24000TL-US - D6-7, Total AC Active Power, SMA 24000TL-US - D6-8, Total AC Active Power, SMA 24000TL-US - D6-9, Total AC Active Power, SMA 24000TL-US - D6-10, Total AC Active Power, SMA 24000TL-US - D7-1, Total AC Active Power, SMA 24000TL-US - D7-2, Total AC Active Power, SMA 24000TL-US - D7-3, Total AC Active Power, SMA 24000TL-US - D7-4, Total AC Active Power, SMA 24000TL-US - D7-5, Total AC Active Power, SMA 24000TL-US - D7-6, Total AC Active Power, SMA 24000TL-US - D7-7, Total AC Active Power, SMA 24000TL-US - D7-8, Total AC Active Power, SMA 24000TL-US - D7-9, Total AC Active Power, SMA 24000TL-US - D7-10, Total AC Active Power, SMA 24000TL-US - D8-1, Total AC Active Power, SMA 24000TL-US - D8-2, Total AC Active Power, SMA 24000TL-US - D8-3, Total AC Active Power, SMA 24000TL-US - D8-4, Total AC Active Power, SMA 24000TL-US - D8-5, Total AC Active Power, SMA 24000TL-US - D8-6, Total AC Active Power, SMA 24000TL-US - D8-7, Total AC Active Power, SMA 24000TL-US - D8-8, Total AC Active Power, SMA 24000TL-US - D8-9, Total AC Active Power, SMA 24000TL-US - D8-10, Total AC Active Power, SMA 24000TL-US - D8-11, Total AC Active Power"
Dairy,x,,,9,"TMEIC 2.5MW Inverter 1.1.1, Active Power P, TMEIC 2.5MW Inverter 1.2.1, Active Power P, TMEIC 2.5MW Inverter 1.3.1, Active Power P, TMEIC 2.5MW Inverter 1.4.1, Active Power P"
Davis Lane,x,x,,0,"SMA SC-1850CP Inverter 1, Active power, SMA SC-1850CP Inverter 2, Active power, SMA SC-1850CP Inverter 3, Active power"
Dayton Cutoff,,x,,0,"Inverter, AC Active Power (Total)"
Drift Creek,,,,0,"Inverter - 1 CPS SCH125KTL-DO/US-600, Active Power, Inverter - 2 CPS SCH125KTL-DO/US-600, Active Power, Inverter - 3 CPS SCH125KTL-DO/US-600, Active Power, Inverter - 4 CPS SCH125KTL-DO/US-600, Active Power, Inverter - 5 CPS SCH125KTL-DO/US-600, Active Power, Inverter - 6 CPS SCH125KTL-DO/US-600, Active Power, Inverter - 7 CPS SCH125KTL-DO/US-600, Active Power, Inverter - 8 CPS SCH125KTL-DO/US-600, Active Power, Inverter - 9 CPS SCH125KTL-DO/US-600, Active Power, Inverter - 10 CPS SCH125KTL-DO/US-600, Active Power, Inverter - 11 CPS SCH125KTL-DO/US-600, Active Power, Inverter - 12 CPS SCH125KTL-DO/US-600, Active Power, Inverter - 13 CPS SCH125KTL-DO/US-600, Active Power, Inverter - 14 CPS SCH125KTL-DO/US-600, Active Power, Inverter - 15 CPS SCH125KTL-DO/US-600, Active Power, Inverter - 16 CPS SCH125KTL-DO/US-600, Active Power, Inverter - 17 CPS SCH100KTL-DO/US-600, Active Power, Inverter - 18 CPS SCH100KTL-DO/US-600, Active Power"
Eagle Point,,x,x,0,"INVERTER 1, AC Active Power (Total), INVERTER 2, AC Active Power (Total), INVERTER 3, AC Active Power (Total), INVERTER 4, AC Active Power (Total), INVERTER 5, AC Active Power (Total)"
Facile Solar,x,,,1088,"Inverter active power, Schneider XC-680 - 1, Line kW, Schneider XC-680 - 2, Line kW, Schneider XC-680 - 3, Line kW"
Faison,,,,0,"AE 1000NX - 1, AC Power, AE 1000NX - 2, AC Power"
Fayetteville PWC,,,,0,"SMA Core 1 50KW Inverter - 1, Total AC Active Power, SMA Core 1 50KW Inverter - 2, Total AC Active Power, SMA Core 1 50KW Inverter - 3, Total AC Active Power, SMA Core 1 50KW Inverter - 4, Total AC Active Power, SMA Core 1 50KW Inverter - 5, Total AC Active Power, SMA Core 1 50KW Inverter - 6, Total AC Active Power, SMA Core 1 50KW Inverter - 7, Total AC Active Power, SMA Core 1 50KW Inverter - 8, Total AC Active Power, SMA Core 1 50KW Inverter - 9, Total AC Active Power, SMA Core 1 50KW Inverter - 10, Total AC Active Power, SMA Core 1 50KW Inverter - 11, Total AC Active Power, SMA Core 1 50KW Inverter - 12, Total AC Active Power, SMA Core 1 50KW Inverter - 13, Total AC Active Power, SMA Core 1 50KW Inverter - 14, Total AC Active Power, SMA Core 1 50KW Inverter - 15, Total AC Active Power, SMA Core 1 50KW Inverter - 16, Total AC Active Power, SMA Core 1 50KW Inverter - 17, Total AC Active Power, SMA Core 1 50KW Inverter - 18, Total AC Active Power, SMA Core 1 50KW Inverter - 19, Total AC Active Power"
Fort Rock Solar I,x,x,,0,"SunGrow SG2500HV Inverter - 05, Total AC Power, SunGrow SG2500HV Inverter - 06, Total AC Power, SunGrow SG2500HV Inverter - 07, Total AC Power, SunGrow SG2500HV Inverter - 08, Total AC Power"
Fort Rock Solar IV,x,x,,0,"SunGrow SG2500HV Inverter - 05, Total AC Power, SunGrow SG2500HV Inverter - 06, Total AC Power, SunGrow SG2500HV Inverter - 07, Total AC Power, SunGrow SG2500HV Inverter - 08, Total AC Power"
Four Oaks,x,x,x,15,"Eaton Power Expert 1670 3, Real power"
Freemont,,,,0,"TMIEC Inverter - A, Active Power P, TMIEC Inverter - B, Active Power P, TMIEC Inverter - C, Active Power P"
Fruitland Creek,,,x,0,"Fruitland Creek - Inverter 2 - AC power [W] - P_AC, Fruitland Creek - Inverter 4 - AC power [W] - P_AC, Fruitland Creek - Inverter 5 - AC power [W] - P_AC, Fruitland Creek - Inverter 9 - AC power [W] - P_AC, Fruitland Creek - Inverter 3 - AC power [W] - P_AC, Fruitland Creek - Inverter 6 - AC power [W] - P_AC, Fruitland Creek - Inverter 8 - AC power [W] - P_AC, Fruitland Creek - Inverter 1 - AC power [W] - P_AC, Fruitland Creek - Inverter 10 - AC power [W] - P_AC, Fruitland Creek - Inverter 7 - AC power [W] - P_AC"
Garner 1,,,,0,"Inverter active power, SF1 inverter 1, AC Power, SF1 inverter 2, AC Power"
Garner 2,,,,0,"Inverter active power, Inverter A, AC Power, Inverter B, AC Power, Inverter C, AC Power, Inverter D, AC Power, Inverter E, AC Power"
Gastonia,,,,0,"INV01 - Inverter 1.01.01 - AC_POWER (kW), INV02 - Inverter 1.01.02 - AC_POWER (kW), INV03 - Inverter 1.01.03 - AC_POWER (kW), INV04 - Inverter 1.02.04 - AC_POWER (kW), INV05 - Inverter 1.02.05 - AC_POWER (kW), INV06 - Inverter 1.02.06 - AC_POWER (kW), INV07 - Inverter 1.03.07 - AC_POWER (kW), INV08 - Inverter 1.03.08 - AC_POWER (kW), INV09 - Inverter 1.03.09 - AC_POWER (kW), INV10 - Inverter 1.04.10 - AC_POWER (kW), INV11 - Inverter 1.04.11 - AC_POWER (kW), INV12 - Inverter 1.04.12 - AC_POWER (kW), INV13 - Inverter 1.05.13 - AC_POWER (kW), INV14 - Inverter 1.05.14 - AC_POWER (kW), INV15 - Inverter 1.05.15 - AC_POWER (kW), INV16 - Inverter 1.06.16 - AC_POWER (kW), INV17 - Inverter 1.06.17 - AC_POWER (kW), INV18 - Inverter 1.06.18 - AC_POWER (kW), INV19 - Inverter 1.07.19 - AC_POWER (kW), INV20 - Inverter 1.07.20 - AC_POWER (kW), INV21 - Inverter 1.08.21 - AC_POWER (kW), INV22 - Inverter 1.08.22 - AC_POWER (kW), INV23 - Inverter 1.09.23 - AC_POWER (kW), INV24 - Inverter 1.09.24 - AC_POWER (kW), INV25 - Inverter 1.09.25 - AC_POWER (kW), INV26 - Inverter 1.10.26 - AC_POWER (kW), INV27 - Inverter 1.10.27 - AC_POWER (kW), INV28 - Inverter 1.11.28 - AC_POWER (kW), INV29 - Inverter 1.11.29 - AC_POWER (kW), INV30 - Inverter 1.11.30 - AC_POWER (kW), INV31 - Inverter 1.12.31 - AC_POWER (kW), INV32 - Inverter 1.12.32 - AC_POWER (kW), INV33 - Inverter 1.13.33 - AC_POWER (kW), INV34 - Inverter 1.13.34 - AC_POWER (kW), INV35 - Inverter 1.14.35 - AC_POWER (kW), INV36 - Inverter 1.14.36 - AC_POWER (kW), INV01 - Inverter 2.01.01 - AC_POWER (kW), INV02 - Inverter 2.01.02 - AC_POWER (kW), INV03 - Inverter 2.01.03 - AC_POWER (kW), INV04 - Inverter 2.02.04 - AC_POWER (kW), INV05 - Inverter 2.02.05 - AC_POWER (kW), INV06 - Inverter 2.03.06 - AC_POWER (kW), INV07 - Inverter 2.03.07 - AC_POWER (kW), INV08 - Inverter 2.04.08 - AC_POWER (kW), INV09 - Inverter 2.04.09 - AC_POWER (kW), INV10 - Inverter 2.05.10 - AC_POWER (kW), INV11 - Inverter 2.05.11 - AC_POWER (kW), INV12 - Inverter 2.06.12 - AC_POWER (kW), INV13 - Inverter 2.06.13 - AC_POWER (kW), INV14 - Inverter 2.06.14 - AC_POWER (kW), INV15 - Inverter 2.07.15 - AC_POWER (kW), INV16 - Inverter 2.07.16 - AC_POWER (kW), INV17 - Inverter 2.07.17 - AC_POWER (kW), INV18 - Inverter 2.08.18 - AC_POWER (kW), INV19 - Inverter 2.08.19 - AC_POWER (kW), INV20 - Inverter 2.08.20 - AC_POWER (kW), INV21 - Inverter 2.09.21 - AC_POWER (kW), INV22 - Inverter 2.09.22 - AC_POWER (kW), INV23 - Inverter 2.09.23 - AC_POWER (kW), INV24 - Inverter 2.10.24 - AC_POWER (kW), INV25 - Inverter 2.10.25 - AC_POWER (kW), INV26 - Inverter 2.11.26 - AC_POWER (kW), INV27 - Inverter 2.11.27 - AC_POWER (kW), INV28 - Inverter 2.11.28 - AC_POWER (kW), INV29 - Inverter 2.12.29 - AC_POWER (kW), INV30 - Inverter 2.12.30 - AC_POWER (kW), INV31 - Inverter 2.12.31 - AC_POWER (kW), INV32 - Inverter 2.13.32 - AC_POWER (kW), INV33 - Inverter 2.13.33 - AC_POWER (kW), INV34 - Inverter 2.13.34 - AC_POWER (kW), INV35 - Inverter 2.14.35 - AC_POWER (kW), INV36 - Inverter 2.14.36 - AC_POWER (kW), INV37 - Inverter 2.14.37 - AC_POWER (kW)"
Gauss,x,x,,0,"Schneider SmartGen CS1800 Inverter - 1.1, Active Power, Schneider SmartGen CS1800 Inverter - 1.2, Active Power, Schneider SmartGen CS1800 Inverter - 2.1, Active Power"
Gold Mine,x,x,x,0,"Sungrow SG125HV Inverter 1, Line kW, Sungrow SG125HV Inverter 2, Line kW, Sungrow SG125HV Inverter 3, Line kW, Sungrow SG125HV Inverter 4, Line kW, Sungrow SG125HV Inverter 5, Line kW, Sungrow SG125HV Inverter 6, Line kW, Sungrow SG125HV Inverter 7, Line kW, Sungrow SG125HV Inverter 8, Line kW, Sungrow SG125HV Inverter 9, Line kW, Sungrow SG125HV Inverter 10, Line kW, Sungrow SG125HV Inverter 11, Line kW, Sungrow SG125HV Inverter 12, Line kW"
Grand Ronde,,,,0,"INVERTER 1, AC Active Power (Total)"
Interstate,,,,0,"Inverter 1, AC Active Power (Total)"
Jersey,x,x,,0,"SMA 1850kW Inverter - 1, AC Real Power, SMA 1850kW Inverter - 2, AC Real Power, SMA 1850kW Inverter - 3, AC Real Power"
Kaiser Creek,,,x,0,"Kaiser Creek - Inverter 2 - AC power [W] - P_AC, Kaiser Creek - Inverter 8 - AC power [W] - P_AC, Kaiser Creek - Inverter 9 - AC power [W] - P_AC, Kaiser Creek - Inverter 6 - AC power [W] - P_AC, Kaiser Creek - Inverter 1 - AC power [W] - P_AC, Kaiser Creek - Inverter 3 - AC power [W] - P_AC, Kaiser Creek - Inverter 4 - AC power [W] - P_AC, Kaiser Creek - Inverter 5 - AC power [W] - P_AC, Kaiser Creek - Inverter 10 - AC power [W] - P_AC, Kaiser Creek - Inverter 7 - AC power [W] - P_AC, Kaiser Creek - Inverter 11 - AC power [W] - P_AC"
Lafayette,,,,0,"Schneider XC 665kW Inverter - 1A, Line kW, Schneider XC 665kW Inverter - 1B, Line kW, Schneider XC 665kW Inverter - 1C, Line kW"
Lakeview,x,,,2,"TMEIC 2.7MW Inverter 1.1.1, Active Power P, TMEIC 2.7MW Inverter 1.2.1, Active Power P, TMEIC 2.7MW Inverter 1.3.1, Active Power P, TMEIC 2.7MW Inverter 1.4.1, Active Power P"
Lane,,x,x,0,"Schneider XC Inverter - 1, Active Power, Schneider XC Inverter - 2, Active Power, Schneider XC Inverter - 3, Active Power, Schneider XC Inverter - 4, Active Power, Schneider XC Inverter - 5, Active Power, Schneider XC Inverter - 6, Active Power, Schneider XC Inverter - 7, Active Power, Schneider XC Inverter - 8, Active Power"
Mariposa,,,,0,"TMEIC - 1, Active Power P, TMEIC - 2, Active Power P, TMEIC - 3, Active Power P"
Meeks,,x,x,1,"Schneider XC 680kW Inverter - 1B, Line kW"
Merrill,x,,,2,"TMEIC 2.5MW Inverter 1.1.1, Active Power P, TMEIC 2.5MW Inverter 1.2.1, Active Power P, TMEIC 2.5MW Inverter 1.3.1, Active Power P, TMEIC 2.5MW Inverter 1.4.1, Active Power P"
Mill Creek,,,,0,"Inverter 1, AC Active Power (Total)"
Milo,,,,0,"NC1 - Milo Solar - Eaton Inverter #01 - Measured AC Power, avg, (kW), NC1 - Milo Solar - Eaton Inverter #02 - Measured AC Power, avg, (kW)"
Minke,x,,x,192,"Inverter - 18 CPS SCH100KTL, Active Power"
Minnie,x,x,x,22,"NC1 - Minnie Solar - Eaton Inverter #01 - Measured AC Power, avg, (kW), NC1 - Minnie Solar - Eaton Inverter #02 - Measured AC Power, avg, (kW)"
Monroe Moore,,,,0,"SMA 800 CP-US - A1, Pac, SMA 800 CP-US - A2, Pac, SMA 800 CP-US - B1, Pac, SMA 800 CP-US - B2, Pac, SMA 800 CP-US - C1, Pac, SMA 800 CP-US - C2, Pac"
NC Solar I,x,x,x,2,"SMA Inverter - 1B, Total AC Active Power"
NC Solar II,,,,0,"SMA Inverter - A, Total AC Active Power, SMA Inverter - B, Total AC Active Power, SMA Inverter - C, Total AC Active Power, SMA Inverter - D, Total AC Active Power"
Nitro,,,,0,"AE 1000NX A, AC Power, AE 1000NX B, AC Power, AE 1000NX C, AC Power, AE 1000NX D, AC Power, AE 1000NX E, AC Power"
Owen,,,,0,"NC1 - Owen Solar - Eaton Inverter #01 - Measured AC Power, avg, (kW), NC1 - Owen Solar - Eaton Inverter #02 - Measured AC Power, avg, (kW), NC1 - Owen Solar - Eaton Inverter #03 - Measured AC Power, avg, (kW)"
PCSP 1,,x,,0,"Satcon PVS - 1, Output KW"
PCSP 3,x,,,9,"Elkor Mark II - Inv A, Real power, Elkor Mark II - Inv B, Real power, Elkor Mark II - Inv C, Real power, Elkor Mark II - Inv D, Real power, Elkor Mark II - Inv E, Real power"
Pamlico,x,,x,29,"Inverter INV 01, AC Power, Inverter INV 02, AC Power, Inverter INV 03, AC Power, Inverter INV 04, AC Power, Inverter INV 05, AC Power, Inverter INV 06, AC Power"
Penny Hill,,,,0,"Schneider XC 680kW Inverter - 1A, Line kW, Schneider XC 680kW Inverter - 1B, Line kW, Schneider XC 680kW Inverter - 1C, Line kW"
Pika,,,,0,"Inverter - 1 CPS SCH125KTL, Active Power, Inverter - 2 CPS SCH125KTL, Active Power, Inverter - 3 CPS SCH125KTL, Active Power, Inverter - 4 CPS SCH125KTL, Active Power, Inverter - 5 CPS SCH125KTL, Active Power, Inverter - 6 CPS SCH125KTL, Active Power, Inverter - 7 CPS SCH125KTL, Active Power, Inverter - 8 CPS SCH125KTL, Active Power, Inverter - 9 CPS SCH125KTL, Active Power, Inverter - 10 CPS SCH125KTL, Active Power, Inverter - 11 CPS SCH125KTL, Active Power, Inverter - 12 CPS SCH125KTL, Active Power, Inverter - 13 CPS SCH125KTL, Active Power, Inverter - 14 CPS SCH125KTL, Active Power, Inverter - 15 CPS SCH125KTL, Active Power, Inverter - 16 CPS SCH125KTL, Active Power, Inverter - 17 CPS SCH100KTL, Active Power, Inverter - 18 CPS SCH100KTL, Active Power"
Princeton,x,x,,0,"Eaton Power Expert 1670 1, Real power, Eaton Power Expert 1670 2, Real power, Eaton Power Expert 1670 3, Real power"
Quarter Horse,,,,0,"Inverter A1-01, Power, Inverter A1-02, Power, Inverter A1-03, Power, Inverter A1-04, Power, Inverter A1-05, Power, Inverter A1-06, Power, Inverter A1-07, Power, Inverter A1-08, Power, Inverter A1-09, Power, Inverter A1-10, Power, Inverter A1-11, Power, Inverter A1-12, Power, Inverter A1-13, Power, Inverter A1-14, Power, Inverter A1-15, Power, Inverter A1-16, Power, Inverter A1-17, Power, Inverter A1-18, Power, Inverter A1-19, Power, Inverter A1-20, Power, Inverter A1-21, Power, Inverter A1-22, Power, Inverter A1-23, Power, Inverter A1-24, Power, Inverter A1-25, Power, Inverter A1-26, Power, Inverter A1-27, Power, Inverter A1-28, Power, Inverter A1-29, Power, Inverter A1-30, Power, Inverter A1-31, Power, Inverter A1-32, Power, Inverter A1-33, Power, Inverter A1-34, Power, Inverter B1-01, Power, Inverter B1-02, Power, Inverter B1-03, Power, Inverter B1-04, Power, Inverter B1-05, Power, Inverter B1-06, Power, Inverter B1-07, Power, Inverter B1-08, Power, Inverter B1-09, Power, Inverter B1-10, Power, Inverter B1-11, Power, Inverter B1-12, Power, Inverter B1-13, Power, Inverter B1-14, Power, Inverter B1-15, Power, Inverter B1-16, Power, Inverter B1-17, Power, Inverter B1-18, Power, Inverter B1-19, Power, Inverter B1-20, Power, Inverter B1-21, Power, Inverter B1-22, Power, Inverter B1-23, Power, Inverter B1-24, Power, Inverter B1-25, Power, Inverter B1-26, Power, Inverter B1-27, Power, Inverter B1-28, Power, Inverter B1-29, Power, Inverter B1-30, Power, Inverter B1-31, Power, Inverter B1-32, Power, Inverter B1-33, Power, Inverter B1-34, Power, Inverter B2-01, Power, Inverter B2-02, Power, Inverter B2-03, Power, Inverter B2-04, Power, Inverter B2-05, Power, Inverter B2-06, Power, Inverter B2-07, Power, Inverter B2-08, Power, Inverter B2-09, Power, Inverter B2-1, Power, Inverter B2-11, Power, Inverter B2-12, Power, Inverter B2-13, Power, Inverter B2-14, Power, Inverter B2-15, Power, Inverter B2-16, Power, Inverter B2-17, Power, Inverter B2-18, Power, Inverter B2-19, Power, Inverter B2-20, Power, Inverter B2-21, Power, Inverter B2-22, Power, Inverter B2-23, Power, Inverter B2-24, Power, Inverter B2-25, Power, Inverter B2-26, Power, Inverter B2-27, Power, Inverter B2-28, Power, Inverter B2-29, Power, Inverter B2-30, Power, Inverter B2-31, Power, Inverter B2-32, Power, Inverter B2-33, Power, Inverter B2-34, Power"
Railroad,,,,0,"Schneider INV-1A, Line kW, Schneider INV-1B, Line kW, Schneider INV-2A, Line kW, Schneider INV-2B, Line kW, Schneider INV-3A, Line kW, Schneider INV-3B, Line kW"
Red Oak,x,x,,2,"SMA SC-800CP-US - A1, Pac, SMA SC-800CP-US - A2, Pac, SMA SC-800CP-US - B1, Pac, SMA SC-800CP-US - B2, Pac, SMA SC-800CP-US - C1, Pac, SMA SC-800CP-US - C2, Pac"
Ridgeback,,,,1,"SUNGROW SG125HV Inverter A2.1, Line kW, SUNGROW SG125HV Inverter A2.2, Line kW, SUNGROW SG125HV Inverter A2.3, Line kW, SUNGROW SG125HV Inverter A2.4, Line kW, SUNGROW SG125HV Inverter A2.5, Line kW, SUNGROW SG125HV Inverter A2.6, Line kW, SUNGROW SG125HV Inverter A2.7, Line kW, SUNGROW SG125HV Inverter A2.8, Line kW, SUNGROW SG125HV Inverter A2.9, Line kW, SUNGROW SG125HV Inverter A2.10, Line kW, SUNGROW SG125HV Inverter A2.11, Line kW"
Riley,,,,0,"SunGrow SG2500HV Inverter - 05, Total AC Power, SunGrow SG2500HV Inverter - 06, Total AC Power, SunGrow SG2500HV Inverter - 07, Total AC Power, SunGrow SG2500HV Inverter - 08, Total AC Power"
Sadiebrook,,,,0,"Schneider XC 680kW Inverter - 1, Active Power, Schneider XC 680kW Inverter - 2, Active Power, Schneider XC 680kW Inverter - 3, Active Power, Schneider XC 680kW Inverter - 4, Active Power, Schneider XC 680kW Inverter - 5, Active Power, Schneider XC 680kW Inverter - 6, Active Power, Schneider XC 680kW Inverter - 7, Active Power, Schneider XC 680kW Inverter - 8, Active Power"
Sandy River,,,,0,"Sandy River - Inverter 10 - AC power [W] - P_AC, Sandy River - Inverter 5 - AC power [W] - P_AC, Sandy River - Inverter 8 - AC power [W] - P_AC, Sandy River - Inverter 9 - AC power [W] - P_AC, Sandy River - Inverter 6 - AC power [W] - P_AC, Sandy River - Inverter 3 - AC power [W] - P_AC, Sandy River - Inverter 2 - AC power [W] - P_AC, Sandy River - Inverter 1 - AC power [W] - P_AC, Sandy River - Inverter 7 - AC power [W] - P_AC, Sandy River - Inverter 4 - AC power [W] - P_AC"
Sarah,x,x,,0,"Eaton Power Xpert 1670 1, Real power, Eaton Power Xpert 1670 2, Real power, Eaton Power Xpert 1670 3, Real power"
Schell,,,,0,"SMA Kodiak SC-1850 - A1, AC Real Power, SMA Kodiak SC-1850 - B1, AC Real Power, SMA Kodiak SC-1850 - C1, AC Real Power"
